Gene > Secondary Identifier	Gene > Symbol	Gene > DB identifier	Gene > Organism Name	Gene > Cytological Location	Gene > Name	Gene > Description
CG17158	cpb	FBgn0011570	Drosophila melanogaster	22B1-22B1	capping protein beta	""
CG17159	CG17159	FBgn0039945	Drosophila melanogaster	""	""	""
CG1716	Set2	FBgn0030486	Drosophila melanogaster	11F4-11F5	SET domain containing 2	""
CG17161	grp	FBgn0261278	Drosophila melanogaster	36A10-36A10	grapes	""
CG17162	CG17162	FBgn0039944	Drosophila melanogaster	""	""	""
CG17163	CG17163	FBgn0039942	Drosophila melanogaster	-	""	""
CG17166	mRpL39	FBgn0036462	Drosophila melanogaster	71B1-71B1	mitochondrial ribosomal protein L39	""
CG17167	CG17167	FBgn0039941	Drosophila melanogaster	-	""	""
CG17168	CG17168	FBgn0039943	Drosophila melanogaster	-	""	""
CG17169	CG17169	FBgn0040514	Drosophila melanogaster	-	""	""
CG17170	su(f)	FBgn0003559	Drosophila melanogaster	-	suppressor of forked	""
CG17172	ATbp	FBgn0039946	Drosophila melanogaster	""	(A+T)-stretch binding protein	""
CG17173	CG17173	FBgn0036447	Drosophila melanogaster	70F4-70F4	""	""
CG17174	ACXB	FBgn0040509	Drosophila melanogaster	34A2-34A2	ACXB	""
CG17176	ACXA	FBgn0040510	Drosophila melanogaster	34A2-34A2	ACXA	""
CG17177	CG17177	FBgn0036440	Drosophila melanogaster	70F1-70F1	""	""
CG17178	ACXE	FBgn0040506	Drosophila melanogaster	34A2-34A2	ACXE	""
CG1718	CG1718	FBgn0031170	Drosophila melanogaster	19F3-19F3	""	""
CG17180	CG17180	FBgn0035140	Drosophila melanogaster	61C3-61C3	""	""
CG17181	Kah	FBgn0035144	Drosophila melanogaster	61C5-61C6	Kahuli	""
CG17183	MED30	FBgn0035149	Drosophila melanogaster	61C8-61C8	Mediator complex subunit 30	""
CG17184	Arfip	FBgn0037884	Drosophila melanogaster	86D8-86D8	Arfaptin	""
CG17186	CG17186	FBgn0038741	Drosophila melanogaster	92B4-92B4	""	""
CG17187	CG17187	FBgn0037882	Drosophila melanogaster	86D8-86D8	""	""
CG17189	CG17189	FBgn0039485	Drosophila melanogaster	97E2-97E2	""	""
CG17190	CG17190	FBgn0038761	Drosophila melanogaster	92C1-92C1	""	""
CG17191	CG17191	FBgn0039473	Drosophila melanogaster	97D14-97D14	""	""
CG17192	CG17192	FBgn0039472	Drosophila melanogaster	97D14-97D14	""	""
CG17193	CG17193	FBgn0040571	Drosophila melanogaster	92C2-92C4	""	""
CG17195	CG17195	FBgn0039369	Drosophila melanogaster	96F2-96F2	""	""
CG17196	CG17196	FBgn0039368	Drosophila melanogaster	96F2-96F2	""	""
CG17197	CG17197	FBgn0039367	Drosophila melanogaster	96F2-96F2	""	""
CG17198	CG17198	FBgn0039366	Drosophila melanogaster	96F2-96F2	""	""
CG17199	CG17199	FBgn0038775	Drosophila melanogaster	92D5-92D5	""	""
CG17200	Ugt86Dg	FBgn0040253	Drosophila melanogaster	86D5-86D5	Ugt86Dg	""
CG17202	CG17202	FBgn0038043	Drosophila melanogaster	87B9-87B9	""	""
CG17207	CG17207	FBgn0038051	Drosophila melanogaster	87B10-87B10	""	""
CG17209	CG17209	FBgn0030687	Drosophila melanogaster	13E14-13E15	""	""
CG1721	Pglym78	FBgn0014869	Drosophila melanogaster	98F12-98F13	Phosphoglyceromutase	""
CG17210	scpr-B	FBgn0037888	Drosophila melanogaster	86D8-86D8	SCP-containing protein B	""
CG17211	CG17211	FBgn0032414	Drosophila melanogaster	33D2-33D2	""	""
CG17212	rho-6	FBgn0032415	Drosophila melanogaster	33D2-33D2	rhomboid-6	""
CG17213	Gr33a	FBgn0032416	Drosophila melanogaster	33D2-33D2	Gustatory receptor 33a	""
CG17216	KP78b	FBgn0026063	Drosophila melanogaster	86E2-86E2	KP78b	""
CG17217	CG17217	FBgn0032419	Drosophila melanogaster	33D2-33D2	""	""
CG17218	crok	FBgn0032421	Drosophila melanogaster	33D2-33D2	crooked	""
CG17219	CG17219	FBgn0031494	Drosophila melanogaster	23C4-23C5	""	""
CG1722	CG1722	FBgn0031168	Drosophila melanogaster	19F2-19F2	""	""
CG17221	CG17221	FBgn0031500	Drosophila melanogaster	23C5-23C5	""	""
CG17223	alpha4GT1	FBgn0031491	Drosophila melanogaster	23C4-23C4	alpha4GT1	""
CG17224	CG17224	FBgn0031489	Drosophila melanogaster	23C4-23C4	""	""
CG17226	Or59c	FBgn0034866	Drosophila melanogaster	59E1-59E1	Odorant receptor 59c	""
CG17227	lig3	FBgn0038035	Drosophila melanogaster	87B9-87B9	DNA ligase III	""
CG17228	pros	FBgn0004595	Drosophila melanogaster	86E2-86E4	prospero	""
CG17230	CG17230	FBgn0046225	Drosophila melanogaster	86E5-86E6	""	""
CG17233	CG17233	FBgn0036958	Drosophila melanogaster	77A3-77A3	""	""
CG17234	CG17234	FBgn0042187	Drosophila melanogaster	22D5-22D5	""	""
CG17237	CG17237	FBgn0031410	Drosophila melanogaster	22D6-22D6	""	""
CG17239	CG17239	FBgn0042186	Drosophila melanogaster	22D5-22D5	""	""
CG1724	CG1724	FBgn0031164	Drosophila melanogaster	19F2-19F2	""	""
CG17240	Ser12	FBgn0011832	Drosophila melanogaster	22D5-22D5	Serine protease 12	""
CG17241	Or94a	FBgn0039033	Drosophila melanogaster	94D7-94D7	Odorant receptor 94a	""
CG17242	CG17242	FBgn0250841	Drosophila melanogaster	22D6-22D6	""	""
CG17244	Gbp3	FBgn0039031	Drosophila melanogaster	94D6-94D6	Growth-blocking peptide 3	""
CG17245	PlexB	FBgn0025740	Drosophila melanogaster	102A1-102A1	Plexin B	""
CG17246	SdhA	FBgn0261439	Drosophila melanogaster	56D3-56D3	Succinate dehydrogenase, subunit A (flavoprotein)	""
CG17248	nSyb	FBgn0013342	Drosophila melanogaster	62A9-62A9	neuronal Synaptobrevin	""
CG17249	CG17249	FBgn0035249	Drosophila melanogaster	62A9-62A9	""	""
CG1725	dlg1	FBgn0001624	Drosophila melanogaster	10B6-10B10	discs large 1	""
CG17250	Or42a	FBgn0033041	Drosophila melanogaster	41F11-41F11	Odorant receptor 42a	""
CG17252	BCL7-like	FBgn0026149	Drosophila melanogaster	8D9-8D9	BCL7-like	""
CG17255	nocte	FBgn0261710	Drosophila melanogaster	9C6-9D1	no circadian temperature entrainment	""
CG17256	Nek2	FBgn0029970	Drosophila melanogaster	7C1-7C1	Nek2	""
CG17257	GABPI	FBgn0031495	Drosophila melanogaster	23C5-23C5	beta4GalNAcTB pilot	""
CG17258	CG17258	FBgn0031496	Drosophila melanogaster	23C5-23C5	""	""
CG17259	SerRS	FBgn0031497	Drosophila melanogaster	23C5-23C5	Seryl-tRNA synthetase	""
CG17260	CG17260	FBgn0031498	Drosophila melanogaster	23C5-23C5	""	""
CG17261	CG17261	FBgn0031501	Drosophila melanogaster	23C5-23C5	""	""
CG17262	cnir	FBgn0243513	Drosophila melanogaster	23C5-23C5	cornichon related	""
CG17264	CG17264	FBgn0031490	Drosophila melanogaster	23C4-23C4	""	""
CG17265	CG17265	FBgn0031488	Drosophila melanogaster	23C4-23C4	""	""
CG17266	CG17266	FBgn0033089	Drosophila melanogaster	42C3-42C3	""	""
CG17267	CG17267	FBgn0038821	Drosophila melanogaster	92F10-92F10	""	""
CG17268	Prosalpha4T1	FBgn0265606	Drosophila melanogaster	92F11-92F12	Proteasome alpha4 subunit, Testis-specific 1	""
CG17269	Fancd2	FBgn0038827	Drosophila melanogaster	93A1-93A1	Fancd2	""
CG17270	CG17270	FBgn0038828	Drosophila melanogaster	93A1-93A1	""	""
CG17271	CG17271	FBgn0038829	Drosophila melanogaster	93A1-93A1	""	""
CG17272	CG17272	FBgn0038830	Drosophila melanogaster	93A1-93A1	""	""
CG17273	AdSS	FBgn0027493	Drosophila melanogaster	93A1-93A1	Adenylosuccinate Synthetase	""
CG17278	CG17278	FBgn0046763	Drosophila melanogaster	93B4-93B4	""	""
CG17279	CG17279	FBgn0038850	Drosophila melanogaster	93B7-93B7	""	""
CG1728	Tim8	FBgn0027359	Drosophila melanogaster	10B6-10B6	Tim8	""
CG17280	levy	FBgn0034877	Drosophila melanogaster	59E3-59E3	levy	""
CG17282	Bdbt	FBgn0038857	Drosophila melanogaster	93B13-93B13	Bride of doubletime	""
CG17283	CG17283	FBgn0038505	Drosophila melanogaster	90A6-90A6	""	""
CG17284	Obp93a	FBgn0038859	Drosophila melanogaster	93C1-93C1	Odorant-binding protein 93a	""
CG17285	Fbp1	FBgn0000639	Drosophila melanogaster	70D2-70D2	Fat body protein 1	""
CG17286	spd-2	FBgn0027500	Drosophila melanogaster	73A10-73A11	spindle defective 2	""
CG17287	CG17287	FBgn0034202	Drosophila melanogaster	54A2-54A2	""	""
CG17290	CG17290	FBgn0034201	Drosophila melanogaster	54A2-54A2	""	""
CG17291	Pp2A-29B	FBgn0260439	Drosophila melanogaster	29B2-29B2	Protein phosphatase 2A at 29B	""
CG17292	CG17292	FBgn0032029	Drosophila melanogaster	29B2-29B2	""	""
CG17293	Wdr82	FBgn0032030	Drosophila melanogaster	29B2-29B3	WD repeat domain 82	""
CG17294	CG17294	FBgn0032032	Drosophila melanogaster	29B3-29B3	""	""
CG17295	Rcd4	FBgn0032034	Drosophila melanogaster	29B4-29B4	Reduction in Cnn dots 4	""
CG17298	CG17298	FBgn0038879	Drosophila melanogaster	93D3-93D3	""	""
CG17299	SNF4Agamma	FBgn0264357	Drosophila melanogaster	93C1-93C5	SNF4/AMP-activated protein kinase gamma subunit	""
CG17300	CG17300	FBgn0036345	Drosophila melanogaster	70A1-70A1	""	""
CG17301	Prosbeta4R1	FBgn0031442	Drosophila melanogaster	23A2-23A2	Proteasome beta4 subunit-related 1	""
CG17302	Prosbeta4R2	FBgn0031443	Drosophila melanogaster	23A2-23A2	Proteasome beta4 subunit-related 2	""
CG1732	Gat	FBgn0039915	Drosophila melanogaster	102C2-102C2	GABA transporter	""
CG17320	ScpX	FBgn0015808	Drosophila melanogaster	37B1-37B1	Sterol carrier protein X-related thiolase	""
CG17321	CG17321	FBgn0032719	Drosophila melanogaster	37B1-37B1	""	""
CG17322	CG17322	FBgn0027070	Drosophila melanogaster	37B1-37B1	""	""
CG17323	CG17323	FBgn0032713	Drosophila melanogaster	37B1-37B1	""	""
CG17324	CG17324	FBgn0027074	Drosophila melanogaster	37A6-37B1	""	""
CG17325	CG17325	FBgn0040993	Drosophila melanogaster	37A4-37A5	""	""
CG17327	CG17327	FBgn0038107	Drosophila melanogaster	87D7-87D7	""	""
CG17328	CG17328	FBgn0028895	Drosophila melanogaster	35F1-35F1	""	""
CG17329	CG17329	FBgn0028896	Drosophila melanogaster	35F1-35F1	""	""
CG17330	jhamt	FBgn0028841	Drosophila melanogaster	35F12-35F12	juvenile hormone acid methyltransferase	""
CG17331	Prosbeta4	FBgn0032596	Drosophila melanogaster	36A12-36A12	Proteasome beta4 subunit	""
CG17332	VhaSFD	FBgn0027779	Drosophila melanogaster	36A12-36A12	Vacuolar H[+]-ATPase SFD subunit	""
CG17333	CG17333	FBgn0030239	Drosophila melanogaster	9F5-9F5	""	""
CG17334	lin-28	FBgn0035626	Drosophila melanogaster	64E1-64E1	lin-28	""
CG17336	Lcch3	FBgn0010240	Drosophila melanogaster	14A1-14A1	Ligand-gated chloride channel homolog 3	""
CG17337	CG17337	FBgn0259979	Drosophila melanogaster	41F8-41F8	""	""
CG17342	Lk6	FBgn0017581	Drosophila melanogaster	86E18-86E18	Lk6 kinase	""
CG17343	CG17343	FBgn0032751	Drosophila melanogaster	37B13-37B13	""	""
CG17344	CG17344	FBgn0032755	Drosophila melanogaster	37C1-37C1	""	""
CG17347	DCTN6-p27	FBgn0086446	Drosophila melanogaster	37C1-37C1	Dynactin 6, p27 subunit	""
CG17348	drl	FBgn0015380	Drosophila melanogaster	37C7-37C7	derailed	""
CG17349	CG17349	FBgn0032771	Drosophila melanogaster	37D3-37D3	""	""
CG17350	CG17350	FBgn0032772	Drosophila melanogaster	37D3-37D3	""	""
CG17352	CG17352	FBgn0035880	Drosophila melanogaster	66C8-66C8	""	""
CG17358	Taf12	FBgn0011290	Drosophila melanogaster	86E15-86E15	TBP-associated factor 12	""
CG17359	CG17359	FBgn0036396	Drosophila melanogaster	70C11-70C11	""	""
CG1736	Prosalpha3T	FBgn0261395	Drosophila melanogaster	100B3-100B3	Proteasome alpha3 subunit, Testis-specific	""
CG17360	CG17360	FBgn0037949	Drosophila melanogaster	86E18-86F7	""	""
CG17361	CG17361	FBgn0036395	Drosophila melanogaster	70C10-70C11	""	""
CG17362	CG17362	FBgn0036393	Drosophila melanogaster	70C9-70C9	""	""
CG17364	CG17364	FBgn0036391	Drosophila melanogaster	70C9-70C9	""	""
CG17367	Lnk	FBgn0028717	Drosophila melanogaster	96F6-96F6	Lnk	""
CG17369	Vha55	FBgn0005671	Drosophila melanogaster	87C2-87C3	Vacuolar H[+]-ATPase 55kD subunit	""
CG1737	CG1737	FBgn0030293	Drosophila melanogaster	10B3-10B4	""	""
CG17370	SppL	FBgn0039381	Drosophila melanogaster	96F5-96F6	Signal peptide peptidase-like	""
CG17374	FASN3	FBgn0040001	Drosophila melanogaster	""	Fatty acid synthase 3	""
CG17375	CG17375	FBgn0031861	Drosophila melanogaster	27B1-27B1	""	""
CG17376	CG17376	FBgn0042189	Drosophila melanogaster	27B1-27B1	""	""
CG17377	CG17377	FBgn0031859	Drosophila melanogaster	27B1-27B1	""	""
CG17378	CG17378	FBgn0031858	Drosophila melanogaster	27B1-27B1	""	""
CG1738	CG1738	FBgn0030291	Drosophila melanogaster	10B3-10B3	""	""
CG17380	CG17380	FBgn0039077	Drosophila melanogaster	94F1-94F1	""	""
CG17381	Ir94g	FBgn0039079	Drosophila melanogaster	94F6-94F6	Ionotropic receptor 94g	""
CG17382	Ir94h	FBgn0039080	Drosophila melanogaster	94F6-94F6	Ionotropic receptor 94h	""
CG17383	jigr1	FBgn0039350	Drosophila melanogaster	96E6-96E6	jing interacting gene regulatory 1	""
CG17385	CG17385	FBgn0033934	Drosophila melanogaster	51A1-51A2	""	""
CG17386	CG17386	FBgn0033936	Drosophila melanogaster	51A2-51A2	""	""
CG17387	CG17387	FBgn0037276	Drosophila melanogaster	82D5-82D5	""	""
CG17397	MED21	FBgn0040020	Drosophila melanogaster	""	Mediator complex subunit 21	""
CG1740	Ntf-2	FBgn0031145	Drosophila melanogaster	19E7-19E7	Nuclear transport factor-2	""
CG17404	CG17404	FBgn0038001	Drosophila melanogaster	87B2-87B2	""	""
CG1742	Mgstl	FBgn0025814	Drosophila melanogaster	19E7-19E7	Microsomal glutathione S-transferase-like	""
CG17420	RpL15	FBgn0028697	Drosophila melanogaster	-	Ribosomal protein L15	""
CG1743	Gs2	FBgn0001145	Drosophila melanogaster	10B11-10B11	Glutamine synthetase 2	""
CG17436	vtd	FBgn0260987	Drosophila melanogaster	-	verthandi	""
CG17437	wds	FBgn0040066	Drosophila melanogaster	3A6-3A6	will die slowly	""
CG1744	chp	FBgn0267435	Drosophila melanogaster	100B5-100B6	chaoptin	""
CG17440	CG17440	FBgn0030120	Drosophila melanogaster	8D4-8D4	""	""
CG17446	Cfp1	FBgn0030121	Drosophila melanogaster	8D4-8D4	CXXC finger protein 1	""
CG1745	HP5	FBgn0030301	Drosophila melanogaster	10B14-10B14	Heterochromatin protein 5	""
CG17450	CG17450	FBgn0040028	Drosophila melanogaster	20A4-20A4	""	""
CG17453	Cyp317a1	FBgn0033982	Drosophila melanogaster	51D2-51D2	Cyp317a1	""
CG17454	CG17454	FBgn0039977	Drosophila melanogaster	""	""	""
CG1746	ATPsynC	FBgn0039830	Drosophila melanogaster	100B7-100B7	ATP synthase, subunit C	""
CG17461	Kif3C	FBgn0039925	Drosophila melanogaster	102D5-102D6	Kinesin family member 3C ortholog	""
CG17462	Trf4-2	FBgn0039251	Drosophila melanogaster	96B9-96B9	""	""
CG1747	Sk1	FBgn0030300	Drosophila melanogaster	10B13-10B13	Sphingosine kinase 1	""
CG17470	CG17470	FBgn0032869	Drosophila melanogaster	38D2-38D2	""	""
CG17471	PIP4K	FBgn0039924	Drosophila melanogaster	102D6-102D6	Phosphatidylinositol 5-phosphate 4-kinase	""
CG17472	CG17472	FBgn0032868	Drosophila melanogaster	38D1-38D1	""	""
CG17475	CG17475	FBgn0038481	Drosophila melanogaster	89F1-89F1	""	""
CG17477	CG17477	FBgn0038479	Drosophila melanogaster	89F1-89F1	""	""
CG17484	p120ctn	FBgn0260799	Drosophila melanogaster	""	Adherens junction protein p120	""
CG17486	CG17486	FBgn0032997	Drosophila melanogaster	""	""	""
CG17489	RpL5	FBgn0064225	Drosophila melanogaster	""	Ribosomal protein L5	""
CG1749	CG1749	FBgn0030305	Drosophila melanogaster	10B15-10B15	""	""
CG17490	CG17490	FBgn0040009	Drosophila melanogaster	-	""	""
CG17492	mib2	FBgn0086442	Drosophila melanogaster	37B10-37B11	mind bomb 2	""
CG17493	CG17493	FBgn0040010	Drosophila melanogaster	""	""	""
CG17494	Slmap	FBgn0040011	Drosophila melanogaster	-	Sarcolemma associated protein	""
CG17498	mad2	FBgn0035640	Drosophila melanogaster	64E11-64E12	mad2	""
CG1750	CG1750	FBgn0039836	Drosophila melanogaster	100B8-100B8	""	""
CG17508	CG17508	FBgn0039970	Drosophila melanogaster	41F5-41F5	""	""
CG17509	pds5	FBgn0260012	Drosophila melanogaster	48D7-48D8	""	""
CG1751	Spase25	FBgn0030306	Drosophila melanogaster	10B15-10B16	Spase 25-subunit	""
CG17510	Fis1	FBgn0039969	Drosophila melanogaster	41F5-41F5	""	""
CG17514	CG17514	FBgn0039959	Drosophila melanogaster	-	""	""
CG17515	Rab21	FBgn0039966	Drosophila melanogaster	-	Rab21	""
CG17520	CkIIalpha	FBgn0264492	Drosophila melanogaster	80D1-80D1	casein kinase IIalpha	""
CG17521	RpL10	FBgn0024733	Drosophila melanogaster	80D1-80D1	Ribosomal protein L10	""
CG17522	GstE10	FBgn0063499	Drosophila melanogaster	55C6-55C6	Glutathione S transferase E10	""
CG17523	GstE2	FBgn0063498	Drosophila melanogaster	55C6-55C7	Glutathione S transferase E2	""
CG17524	GstE3	FBgn0063497	Drosophila melanogaster	55C7-55C7	Glutathione S transferase E3	""
CG17525	GstE4	FBgn0063496	Drosophila melanogaster	55C7-55C7	Glutathione S transferase E4	""
CG17527	GstE5	FBgn0063495	Drosophila melanogaster	55C7-55C7	Glutathione S transferase E5	""
CG17528	CG17528	FBgn0261387	Drosophila melanogaster	""	""	""
CG1753	Cbs	FBgn0031148	Drosophila melanogaster	19E7-19E7	Cystathionine beta-synthase	""
CG17530	GstE6	FBgn0063494	Drosophila melanogaster	55C7-55C7	Glutathione S transferase E6	""
CG17531	GstE7	FBgn0063493	Drosophila melanogaster	55C7-55C7	Glutathione S transferase E7	""
CG17533	GstE8	FBgn0063492	Drosophila melanogaster	55C7-55C8	Glutathione S transferase E8	""
CG17534	GstE9	FBgn0063491	Drosophila melanogaster	55C8-55C8	Glutathione S transferase E9	""
CG17540	Spf45	FBgn0086683	Drosophila melanogaster	-	Spf45	""
CG17544	CG17544	FBgn0032775	Drosophila melanogaster	37D4-37D5	""	""
CG17549	CG17549	FBgn0032774	Drosophila melanogaster	37D4-37D4	""	""
CG17556	CG17556	FBgn0038462	Drosophila melanogaster	89E6-89E6	""	""
CG17559	dnt	FBgn0024245	Drosophila melanogaster	37D2-37D2	doughnut on 2	""
CG17560	CG17560	FBgn0038450	Drosophila melanogaster	89D5-89D5	""	""
CG17562	CG17562	FBgn0038449	Drosophila melanogaster	89D5-89D5	""	""
CG17564	CG17564	FBgn0032768	Drosophila melanogaster	37D2-37D2	""	""
CG17565	CG17565	FBgn0038424	Drosophila melanogaster	89B16-89B16	""	""
CG17566	gammaTub37C	FBgn0010097	Drosophila melanogaster	37C7-37C7	gamma-Tubulin at 37C	""
CG17568	CG17568	FBgn0032763	Drosophila melanogaster	37C6-37C6	""	""
CG17569	gry	FBgn0035416	Drosophila melanogaster	63B11-63B13	gryzun	""
CG17570	CG17570	FBgn0260000	Drosophila melanogaster	38C3-38C3	""	""
CG17571	CG17571	FBgn0259998	Drosophila melanogaster	38C3-38C3	""	""
CG17572	CG17572	FBgn0032753	Drosophila melanogaster	37B13-37B13	""	""
CG17574	CG17574	FBgn0033777	Drosophila melanogaster	49D4-49D6	""	""
CG17575	CG17575	FBgn0250842	Drosophila melanogaster	49D4-49D4	""	""
CG17577	Cyp9h1	FBgn0033775	Drosophila melanogaster	49D4-49D4	Cyp9h1	""
CG17579	sca	FBgn0003326	Drosophila melanogaster	49C3-49D3	scabrous	""
CG17580	CG17580	FBgn0040755	Drosophila melanogaster	49D3-49D3	""	""
CG17584	Or49b	FBgn0028963	Drosophila melanogaster	49D4-49D4	Odorant receptor 49b	""
CG1759	cad	FBgn0000251	Drosophila melanogaster	38E9-38E10	caudal	""
CG17592	Usf	FBgn0029711	Drosophila melanogaster	4C7-4C7	Usf	""
CG17593	CG17593	FBgn0031544	Drosophila melanogaster	23F6-23F6	""	""
CG17594	scro	FBgn0028993	Drosophila melanogaster	""	scarecrow	""
CG17596	S6kII	FBgn0262866	Drosophila melanogaster	20C1-20C1	Ribosomal protein S6 kinase II	""
CG17597	CG17597	FBgn0032715	Drosophila melanogaster	37B1-37B1	""	""
CG17598	CG17598	FBgn0031194	Drosophila melanogaster	20C1-20C1	""	""
CG17599	CG17599	FBgn0031196	Drosophila melanogaster	20C1-20C1	""	""
CG17600	CG17600	FBgn0031195	Drosophila melanogaster	20C1-20C1	""	""
CG17601	CG17601	FBgn0031197	Drosophila melanogaster	20C1-20C1	""	""
CG17603	Taf1	FBgn0010355	Drosophila melanogaster	84A1-84A1	TBP-associated factor 1	""
CG17604	c(3)G	FBgn0000246	Drosophila melanogaster	89A5-89A5	crossover suppressor on 3 of Gowen	""
CG17608	fu12	FBgn0026718	Drosophila melanogaster	29C5-29D1	fu12	""
CG17610	grk	FBgn0001137	Drosophila melanogaster	29C4-29C4	gurken	""
CG17611	eIF6	FBgn0034915	Drosophila melanogaster	60A3-60A3	eIF6	""
CG17612	CG17612	FBgn0031597	Drosophila melanogaster	24E4-24E4	""	""
CG1762	Itgbn	FBgn0010395	Drosophila melanogaster	39A1-39A1	Integrin betanu subunit	""
CG17625	CG17625	FBgn0039002	Drosophila melanogaster	94C1-94C1	""	""
CG1763	nod	FBgn0002948	Drosophila melanogaster	10C8-10C9	no distributive disjunction	""
CG17632	bw	FBgn0000241	Drosophila melanogaster	59E2-59E3	brown	""
CG17633	CG17633	FBgn0032144	Drosophila melanogaster	30C8-30C8	""	""
CG17636	CG17636	FBgn0025837	Drosophila melanogaster	-	""	""
CG17637	CG17637	FBgn0037004	Drosophila melanogaster	77C6-77C6	""	""
CG17639	GstD11	FBgn0038029	Drosophila melanogaster	87B9-87B9	Glutathione S transferase D11	""
CG1764	CG1764	FBgn0030467	Drosophila melanogaster	11E9-11E9	""	""
CG17642	mRpL48	FBgn0031357	Drosophila melanogaster	22B1-22B1	mitochondrial ribosomal protein L48	""
CG17645	Pglym87	FBgn0011270	Drosophila melanogaster	87B3-87B3	Pglym87	""
CG17646	CG17646	FBgn0264494	Drosophila melanogaster	22B1-22B2	""	""
CG17648	CG17648	FBgn0031364	Drosophila melanogaster	22B2-22B2	""	""
CG1765	EcR	FBgn0000546	Drosophila melanogaster	42A9-42A12	Ecdysone receptor	""
CG17650	CG17650	FBgn0031365	Drosophila melanogaster	22B2-22B2	""	""
CG17652	CG17652	FBgn0031361	Drosophila melanogaster	22B1-22B1	""	""
CG17654	Eno	FBgn0000579	Drosophila melanogaster	22B1-22B1	Enolase	""
CG17657	frtz	FBgn0086698	Drosophila melanogaster	22B1-22B1	fritz	""
CG17658	CG17658	FBgn0034924	Drosophila melanogaster	60A9-60A9	""	""
CG17660	CG17660	FBgn0031356	Drosophila melanogaster	22B1-22B1	""	""
CG17662	CG17662	FBgn0034884	Drosophila melanogaster	59F4-59F4	""	""
CG17664	CG17664	FBgn0034883	Drosophila melanogaster	59F4-59F4	""	""
CG17665	IntS3	FBgn0262117	Drosophila melanogaster	-	Integrator 3	""
CG17666	CG17666	FBgn0036311	Drosophila melanogaster	69E2-69E2	""	""
CG17669	CG17669	FBgn0034352	Drosophila melanogaster	55C9-55C9	""	""
CG17672	CG17672	FBgn0083978	Drosophila melanogaster	""	""	""
CG17673	SP	FBgn0003034	Drosophila melanogaster	70A4-70A4	Sex Peptide	""
CG17678	cta	FBgn0000384	Drosophila melanogaster	-	concertina	""
CG1768	dia	FBgn0011202	Drosophila melanogaster	38E7-38E8	diaphanous	""
CG17680	CG17680	FBgn0062440	Drosophila melanogaster	55B9-55B9	""	""
CG17681	CG17681	FBgn0032668	Drosophila melanogaster	36E6-36E6	""	""
CG17683	CG17683	FBgn0262115	Drosophila melanogaster	-	""	""
CG17684	CG17684	FBgn0263780	Drosophila melanogaster	-	""	""
CG17686	DIP1	FBgn0024807	Drosophila melanogaster	20A4-20A5	DISCO Interacting Protein 1	""
CG17687	CG17687	FBgn0036348	Drosophila melanogaster	70A5-70A5	""	""
CG17689	Spt20	FBgn0036374	Drosophila melanogaster	70B3-70B3	Spt20	""
CG17691	CG17691	FBgn0039993	Drosophila melanogaster	""	""	""
CG17697	fz	FBgn0001085	Drosophila melanogaster	70D4-70D5	frizzled	""
CG17698	CG17698	FBgn0040056	Drosophila melanogaster	-	""	""
CG1770	HDAC4	FBgn0041210	Drosophila melanogaster	11E8-11E9	Histone deacetylase 4	""
CG17704	Nipped-B	FBgn0026401	Drosophila melanogaster	""	Nipped-B	""
CG17707	CG17707	FBgn0025835	Drosophila melanogaster	-	""	""
CG1771	mew	FBgn0004456	Drosophila melanogaster	11E3-11E8	multiple edematous wings	""
CG17712	CG17712	FBgn0027597	Drosophila melanogaster	22B2-22B2	""	""
CG17715	CG17715	FBgn0041004	Drosophila melanogaster	-	""	""
CG17716	fas	FBgn0000633	Drosophila melanogaster	50B6-50C3	faint sausage	""
CG17717	CG17717	FBgn0029877	Drosophila melanogaster	6C1-6C1	""	""
CG1772	dap	FBgn0010316	Drosophila melanogaster	46B1-46B1	dacapo	""
CG17721	CG17721	FBgn0037885	Drosophila melanogaster	86D8-86D8	""	""
CG17723	ZnT63C	FBgn0035432	Drosophila melanogaster	63C6-63D1	Zinc transporter 63C	""
CG17724	CG17724	FBgn0033802	Drosophila melanogaster	49F4-49F7	""	""
CG17725	Pepck	FBgn0003067	Drosophila melanogaster	55D3-55D3	Phosphoenolpyruvate carboxykinase	""
CG17726	CG17726	FBgn0037880	Drosophila melanogaster	86D8-86D8	""	""
CG1773	CG1773	FBgn0033439	Drosophila melanogaster	46A1-46A1	""	""
CG17732	CG17732	FBgn0036923	Drosophila melanogaster	76D8-76D8	""	""
CG17734	CG17734	FBgn0037890	Drosophila melanogaster	86D8-86D9	""	""
CG17736	schuy	FBgn0036925	Drosophila melanogaster	76D8-76D8	schumacher-levy	""
CG17737	CG17737	FBgn0035423	Drosophila melanogaster	63C1-63C1	""	""
CG17738	CG17738	FBgn0038009	Drosophila melanogaster	87B4-87B4	""	""
CG17739	CG17739	FBgn0033710	Drosophila melanogaster	48F6-48F7	""	""
CG1774	CG1774	FBgn0039856	Drosophila melanogaster	100C7-100C7	""	""
CG17743	pho	FBgn0002521	Drosophila melanogaster	102D6-102D6	pleiohomeotic	""
CG17744	CG17744	FBgn0035730	Drosophila melanogaster	65E1-65E1	""	""
CG17746	CG17746	FBgn0035425	Drosophila melanogaster	63C1-63C1	""	""
CG1775	Med	FBgn0011655	Drosophila melanogaster	100C7-100D1	Medea	""
CG17751	CG17751	FBgn0038717	Drosophila melanogaster	92A10-92A10	""	""
